parent,candidate,path,method,before_line,after_line,status,evidence,disposition
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$1.smali,public run()V,0,32,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$2.smali,constructor <init>()V,0,30,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$2.smali,public bridge synthetic compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,77,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$2.smali,public compare(Lcom/byd/launcher/NeteaseLyricsBridge$LyricLine;Lcom/byd/launcher/NeteaseLyricsBridge$LyricLine;)I,0,41,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$3.smali,constructor <init>(Ljava/lang/String;)V,0,25,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$3.smali,public run()V,0,43,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$FetchTask.smali,constructor <init>(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,0,31,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$FetchTask.smali,public run()V,0,55,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge$LyricLine.smali,constructor <init>(JLjava/lang/String;)V,0,24,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private constructor <init>()V,0,114,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static currentActivity()Landroid/app/Activity;,0,258,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static isSameTrack(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Z,0,311,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static normalise(Ljava/lang/String;)Ljava/lang/String;,0,423,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static parseLrc(Ljava/lang/String;)Ljava/util/List;,0,821,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static readAll(Ljava/io/InputStream;)Ljava/lang/String;,0,1056,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static renderCurrentLine()V,0,1105,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static selectSyncedLyrics(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,0,1304,PENDING_REVIEW,,
zhiui-final-v3.5.3-statusbar-flicker-fix.apk,zhiui-final-v3.6-lrclib-lyrics.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static setCardText(Ljava/lang/String;)V,0,1392,PENDING_REVIEW,,
